Algorithm,Preprocessing,Split,SampleIndex,OriginalIndex,Features,ActualClass,PredictedClass,Correct,Confidence
KNN,raw,80-20,19,3067,12110;421.9549865722656;164.96595764160156;94.69145965576172;0.8188510537147522;12319;0.6610983610153198,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,20,3068,12666;453.677001953125;191.36474609375;85.13594818115234;0.8955860137939453;12866;0.6701587438583374,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,21,3069,11623;427.4700012207031;178.89151000976562;83.5600814819336;0.8842049241065979;11798;0.6262392401695251,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,22,3070,10727;406.4530029296875;168.96371459960938;81.32386779785156;0.8765506148338318;10868;0.7977837324142456,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,23,3071,13683;461.5679931640625;189.24533081054688;93.11316680908203;0.870581865310669;13944;0.6265109777450562,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,24,3072,14142;470.7130126953125;180.69857788085938;101.76226043701172;0.8263476490974426;14709;0.7027429938316345,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,25,3073,12808;466.92401123046875;197.17466735839844;83.79329681396484;0.9052074551582336;13186;0.5437256097793579,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,26,3074,13923;462.70001220703125;189.5257110595703;94.52521514892578;0.8667480945587158;14186;0.7299465537071228,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,27,3075,11488;416.37799072265625;170.40480041503906;86.13888549804688;0.8628291487693787;11663;0.7532126903533936,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,28,3076,13347;461.87200927734375;193.52735900878906;88.68710327148438;0.8888148069381714;13536;0.777027428150177,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,29,3077,9741;430.55999755859375;180.0662841796875;71.17449188232422;0.9185657501220703;10204;0.7645996809005737,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,30,3078,12708;437.4540100097656;174.35812377929688;93.84774780273438;0.8427870869636536;12893;0.6434430480003357,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,31,3079,12448;443.968994140625;187.10293579101562;85.64952850341797;0.8890722393989563;12621;0.6258421540260315,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,32,3080,10719;418.6700134277344;175.00836181640625;78.8310775756836;0.892805814743042;10983;0.636898398399353,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,33,3081,11353;418.7560119628906;169.48007202148438;86.20268249511719;0.8609851002693176;11510;0.6229696869850159,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,34,3082,12382;453.6029968261719;190.1286163330078;83.85016632080078;0.8974981904029846;12605;0.6383132338523865,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,35,3083,12657;455.1820068359375;189.77093505859375;85.68873596191406;0.8922520279884338;12926;0.7675560712814331,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,36,3084,11232;427.42999267578125;180.43719482421875;80.56560516357422;0.894782543182373;11424;0.5987845063209534,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,37,3085,11206;427.1390075683594;171.67591857910156;84.98906707763672;0.8688614964485168;11588;0.6087570786476135,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,38,3086,12278;453.6929931640625;184.05015563964844;86.66008758544922;0.8822130560874939;12601;0.6298348307609558,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,39,3087,12547;434.93701171875;174.37940979003906;92.45401763916016;0.8478795886039734;12856;0.779316782951355,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,40,3088,10910;445.27398681640625;190.248046875;73.87875366210938;0.9215209484100342;11229;0.6278775334358215,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,41,3089,10213;430.04400634765625;187.31439208984375;69.94136047363281;0.9276743531227112;10392;0.5634447932243347,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,42,3090,12557;443.010009765625;177.72877502441406;91.59944152832031;0.856956422328949;12896;0.639293372631073,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,43,3091,12193;436.2850036621094;182.62728881835938;85.25560760498047;0.8843479156494141;12336;0.6830812096595764,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,44,3092,10577;402.1700134277344;162.5910186767578;83.96336364746094;0.8563424348831177;10771;0.7607163190841675,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,45,3093,12095;444.03399658203125;186.0676727294922;83.80880737304688;0.8928162455558777;12290;0.6999421119689941,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,46,3094,11879;446.14300537109375;187.9102325439453;81.5909194946289;0.9008157253265381;12095;0.6526923179626465,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,47,3095,12784;448.34698486328125;186.11672973632812;88.22885131835938;0.8804972767829895;12937;0.6047303676605225,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,48,3096,13172;450.2900085449219;178.6181182861328;95.82071685791016;0.8439284563064575;13499;0.6363285183906555,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,49,3097,12532;454.0669860839844;186.8625946044922;87.04252624511719;0.8848845958709717;12888;0.6307312846183777,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,50,3098,11962;429.1809997558594;175.88784790039062;87.96854400634766;0.8659445643424988;12152;0.785681426525116,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,51,3099,12890;462.802001953125;190.34347534179688;87.71855926513672;0.8874813914299011;13227;0.5856961011886597,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,52,3100,13328;462.2560119628906;187.22998046875;91.63737487792969;0.8720383644104004;13606;0.6098375916481018,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,53,3101,11811;427.7510070800781;170.10205078125;89.35462951660156;0.8509169816970825;12066;0.6454098224639893,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,54,3102,13426;460.22698974609375;187.6688995361328;91.77645111083984;0.8722648024559021;13666;0.6526980996131897,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,55,3103,11511;438.9729919433594;182.59437561035156;81.35918426513672;0.8952454924583435;11806;0.6569080352783203,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,56,3104,11810;444.35198974609375;187.80738830566406;80.46891021728516;0.9035583734512329;11977;0.5730783939361572,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,57,3105,12974;460.3039855957031;192.93104553222656;86.72413635253906;0.8932760953903198;13232;0.5959303379058838,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,58,3106,12726;455.34600830078125;188.7777862548828;86.93991088867188;0.8876383900642395;13010;0.768478274345398,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,59,3107,11644;444.6310119628906;186.58460998535156;80.90866088867188;0.9010910987854004;11850;0.606964111328125,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,60,3108,12317;442.80999755859375;179.3353271484375;88.76384735107422;0.8689156770706177;12589;0.6606060862541199,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,61,3109,11711;423.93701171875;175.1188201904297;85.90812683105469;0.8714014887809753;11866;0.810562014579773,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,62,3110,12604;452.7250061035156;182.71681213378906;89.78499603271484;0.8709403276443481;12945;0.7370760440826416,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,63,3111,11929;439.89599609375;177.00547790527344;87.95028686523438;0.8678199052810669;12262;0.5917162895202637,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,64,3112,10911;424.5570068359375;173.75375366210938;81.3233871459961;0.8837082386016846;11135;0.6494643092155457,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,65,3113,11585;428.37298583984375;171.56198120117188;87.44052124023438;0.8603681921958923;11939;0.6089035868644714,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,66,3114,11492;419.2969970703125;165.42955017089844;89.53146362304688;0.8408900499343872;11747;0.7873389720916748,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,67,3115,12434;450.4960021972656;176.91012573242188;91.67809295654297;0.8552482724189758;12847;0.6123916506767273,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,68,3116,12503;446.3110046386719;177.33737182617188;91.15876770019531;0.8577653169631958;12777;0.6293667554855347,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,69,3117,11665;430.44000244140625;172.60128784179688;87.7052230834961;0.861275851726532;11972;0.610221803188324,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,70,3118,11183;414.3489990234375;170.64938354492188;83.88195037841797;0.8708518743515015;11321;0.6169931292533875,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,71,3119,11850;440.864990234375;178.6224365234375;86.1668701171875;0.8759528994560242;12201;0.783730149269104,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,72,3120,13410;464.7760009765625;186.42898559570312;93.2944564819336;0.8657776117324829;13894;0.716690719127655,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,73,3121,11031;421.2909851074219;172.6673583984375;82.59618377685547;0.878166913986206;11298;0.7287923097610474,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,74,3122,11757;441.24200439453125;182.59585571289062;82.91639709472656;0.8909518122673035;11967;0.6017196178436279,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,75,3123,11199;421.0429992675781;170.6911163330078;85.02394104003906;0.8671104907989502;11405;0.8033716082572937,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,76,3124,10326;427.7250061035156;174.47438049316406;77.73373413085938;0.8952665328979492;10691;0.6070546507835388,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,77,3125,12831;446.6310119628906;181.8717803955078;90.23387145996094;0.8682425022125244;13061;0.6699561476707458,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,78,3126,12085;431.2080078125;168.88475036621094;92.54956817626953;0.8364755511283875;12279;0.7025754451751709,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,79,3127,13012;466.1189880371094;196.22711181640625;85.11974334716797;0.901017963886261;13242;0.581932008266449,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,80,3128,9236;394.34100341796875;160.92889404296875;74.24967956542969;0.8872016668319702;9465;0.5773943662643433,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,81,3129,11679;417.82501220703125;170.5679931640625;87.63663482666016;0.8579142093658447;11853;0.7943276762962341,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,82,3130,11145;421.2430114746094;170.03070068359375;84.5774917602539;0.8675071001052856;11376;0.636130154132843,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,83,3131,14414;476.3210144042969;194.85975646972656;94.98594665527344;0.8731464147567749;14664;0.6638725399971008,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,84,3132,12876;448.4419860839844;179.54049682617188;92.54550170898438;0.8569151163101196;13229;0.7047619223594666,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,85,3133,11840;432.3840026855469;175.83688354492188;86.64778137207031;0.8701575398445129;12032;0.6257597208023071,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,86,3134,10457;402.06298828125;157.96170043945312;85.70410919189453;0.8400153517723083;10719;0.6770914196968079,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,87,3135,11243;419.0270080566406;168.205078125;86.01402282714844;0.8593642115592957;11421;0.6376474499702454,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,88,3136,11080;424.7690124511719;175.1816864013672;81.33550262451172;0.8856820464134216;11337;0.5829124450683594,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,89,3137,12908;462.2099914550781;185.85093688964844;89.38809967041016;0.8767389059066772;13199;0.7277032136917114,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,90,3138,12308;436.6400146484375;174.93844604492188;90.61617279052734;0.8553873300552368;12544;0.6865238547325134,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,91,3139,11831;428.70098876953125;167.41664123535156;92.25314331054688;0.8344793319702148;12116;0.7732679843902588,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,92,3140,12025;447.22698974609375;184.91464233398438;84.1479721069336;0.8904588222503662;12373;0.6470271944999695,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,93,3141,12758;451.3699951171875;180.73944091796875;91.56465148925781;0.8621745705604553;13170;0.6490638852119446,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,94,3142,10702;409.2659912109375;160.7001495361328;85.87031555175781;0.8452625274658203;10990;0.6860256195068359,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,95,3143,11732;441.12298583984375;176.48348999023438;86.19246673583984;0.8726264238357544;12076;0.6374701261520386,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,96,3144,11898;420.77899169921875;166.07846069335938;92.47577667236328;0.830633282661438;12133;0.7624967694282532,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,97,3145,10187;404.9679870605469;160.2264404296875;82.3290023803711;0.8578925728797913;10489;0.6162734627723694,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,98,3146,12205;438.3559875488281;174.43572998046875;90.32647705078125;0.8554890155792236;12491;0.6184757351875305,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,99,3147,14186;490.7139892578125;198.1422119140625;92.53504943847656;0.884250283241272;14721;0.5936806797981262,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,100,3148,10497;417.5060119628906;169.24020385742188;80.1222915649414;0.8808349370956421;10753;0.581615686416626,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,101,3149,11884;434.8399963378906;172.12608337402344;89.20809173583984;0.8552159667015076;12184;0.6295825242996216,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,102,3150,10952;421.1050109863281;176.87213134765625;79.6222915649414;0.8929435610771179;11105;0.5810079574584961,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,103,3151,12792;443.72698974609375;179.13026428222656;92.19039154052734;0.8573970198631287;13044;0.7941888570785522,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,104,3152,12512;454.510009765625;186.95083618164062;86.5754165649414;0.8863102793693542;12817;0.5713242292404175,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,105,3153,11814;424.5320129394531;172.85595703125;87.35523986816406;0.8629060387611389;11970;0.7381443381309509,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,106,3154,12376;455.7330017089844;188.8243408203125;85.17462921142578;0.892484188079834;12702;0.5639553666114807,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,107,3155,10917;420.9110107421875;176.4309539794922;80.17512512207031;0.8907835483551025;11128;0.659079909324646,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,108,3156,12293;445.68701171875;181.87916564941406;87.02767944335938;0.8780920505523682;12524;0.7763673067092896,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,109,3157,11191;431.0570068359375;184.31167602539062;78.07806396484375;0.9058400988578796;11358;0.7858848571777344,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,110,3158,12364;442.8550109863281;175.35739135742188;91.60602569580078;0.8527029156684875;12679;0.6178910732269287,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,111,3159,10651;411.00299072265625;167.1800994873047;82.50652313232422;0.8697351217269897;10893;0.6750538945198059,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,112,3160,11515;425.4989929199219;177.835205078125;83.02623748779297;0.8843250274658203;11672;0.8077300786972046,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,113,3161,12670;462.91400146484375;190.20509338378906;86.2152328491211;0.8913706541061401;13047;0.7132000923156738,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,114,3162,13166;465.9670104980469;195.90541076660156;86.00589752197266;0.8984785079956055;13383;0.6580039262771606,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,115,3163,11501;428.50299072265625;180.48878479003906;81.40830993652344;0.892501950263977;11676;0.6765294075012207,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,116,3164,11303;423.9549865722656;173.8369598388672;83.3764877319336;0.877473771572113;11527;0.6196820139884949,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,117,3165,11508;429.2040100097656;178.3140106201172;83.02278137207031;0.8849959373474121;11772;0.788435161113739,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,118,3166,12502;431.31298828125;172.89813232421875;92.5653305053711;0.8446145057678223;12679;0.8081448078155518,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,119,3167,10296;415.7510070800781;172.33287048339844;77.06074523925781;0.8944528698921204;10514;0.6108935475349426,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,120,3168,11299;429.4389953613281;174.44161987304688;84.42338562011719;0.8750881552696228;11663;0.6133760213851929,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,121,3169,10231;404.364013671875;159.63926696777344;82.99382781982422;0.8542371392250061;10640;0.6299876570701599,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,122,3170,11097;436.1449890136719;182.74285888671875;78.44047546386719;0.9031906127929688;11472;0.6288677453994751,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,123,3171,9127;381.8789978027344;160.80465698242188;72.84465789794922;0.8915100693702698;9260;0.589561402797699,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,124,3172,11014;413.44000244140625;165.74520874023438;86.5546646118164;0.8528137803077698;11182;0.5826280117034912,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,125,3173,12709;446.2049865722656;180.19741821289062;90.73625946044922;0.863973081111908;12958;0.6262441873550415,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,126,3174,13154;451.56201171875;179.95359802246094;94.31381225585938;0.8516562581062317;13428;0.6502224206924438,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,127,3175,14104;467.8009948730469;189.49490356445312;95.64701080322266;0.8632672429084778;14409;0.7896976470947266,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,128,3176,12906;449.7909851074219;180.67588806152344;92.46822357177734;0.8591101765632629;13278;0.6359201669692993,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,129,3177,10533;411.01300048828125;168.51832580566406;80.8294448852539;0.8774611353874207;10834;0.6369738578796387,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,130,3178,12416;441.9280090332031;175.2147216796875;91.56061553955078;0.8526011109352112;12738;0.629167914390564,Osmancik,Osmancik,1,0.6667
KNN,raw,80-20,131,3179,9802;412.3689880371094;176.1655731201172;71.48280334472656;0.9139750003814697;9991;0.5669500827789307,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,132,3180,13003;478.5870056152344;197.88121032714844;85.5315933227539;0.9017599821090698;13402;0.5888506770133972,Osmancik,Cammeo,0,1.0000
KNN,raw,80-20,133,3181,10148;408.2279968261719;168.72535705566406;77.14332580566406;0.8893575668334961;10409;0.5832518935203552,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,134,3182,10085;404.67999267578125;168.40106201171875;77.30437469482422;0.8884108662605286;10342;0.5717120170593262,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,135,3183,10462;415.77398681640625;169.77206420898438;80.69159698486328;0.8798272013664246;10789;0.7458472847938538,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,136,3184,11459;435.4530029296875;175.3064422607422;85.23181915283203;0.8738544583320618;11833;0.5838980674743652,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,137,3185,12408;437.0140075683594;179.7411651611328;88.82960510253906;0.8693434000015259;12598;0.6369282603263855,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,138,3186,10949;420.1700134277344;176.24952697753906;79.89092254638672;0.8913666605949402;11132;0.5790058374404907,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,139,3187,11241;417.15899658203125;169.24778747558594;85.45878601074219;0.8631585836410522;11390;0.6286912560462952,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,140,3188,11937;427.3349914550781;172.931640625;88.59191131591797;0.8588098883628845;12111;0.7723214030265808,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,141,3189,9994;406.64300537109375;173.0985107421875;74.46515655517578;0.902738630771637;10123;0.8070090413093567,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,142,3190,11203;424.8039855957031;176.5013427734375;82.42084503173828;0.884273111820221;11406;0.5757529139518738,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,143,3191,12311;446.1759948730469;182.64903259277344;86.82935333251953;0.8797756433486938;12608;0.6908917427062988,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,144,3192,11999;440.66900634765625;176.701904296875;88.94086456298828;0.86408931016922;12483;0.646846354007721,Osmancik,Cammeo,0,0.6667
KNN,raw,80-20,145,3193,11029;415.0480041503906;176.2147674560547;80.01405334472656;0.8909654021263123;11182;0.6305888891220093,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,146,3194,10527;403.3479919433594;163.06924438476562;83.8401870727539;0.857707142829895;10725;0.6350364685058594,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,147,3195,12271;443.7869873046875;179.8376922607422;87.74169158935547;0.8729029893875122;12510;0.623526394367218,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,148,3196,11623;424.3590087890625;167.40399169921875;90.13301086425781;0.8426791429519653;11990;0.7602694630622864,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,149,3197,11549;432.62298583984375;170.7567901611328;88.04955291748047;0.8568035364151001;11910;0.6222521662712097,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,150,3198,11872;429.5379943847656;180.0838623046875;84.3775405883789;0.8834391832351685;12041;0.640448808670044,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,151,3199,11717;430.9179992675781;174.6403350830078;86.09232330322266;0.8700467348098755;11948;0.6514873504638672,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,152,3200,11543;428.60198974609375;175.3706817626953;85.05824279785156;0.8745031952857971;11859;0.671065628528595,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,153,3201,9598;397;172.0067901611328;72.28364562988281;0.9074143171310425;9766;0.7968451380729675,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,154,3202,11770;429.2449951171875;177.57814025878906;85.31318664550781;0.8770351409912109;11938;0.5924993753433228,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,155,3203,10481;413.72198486328125;174.1646270751953;77.66029357910156;0.8950819373130798;10648;0.8064789175987244,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,156,3204,11318;427.7560119628906;175.5746612548828;83.88063049316406;0.8784963488578796;11628;0.5894791483879089,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,157,3205,10871;416.5379943847656;171.44371032714844;82.22730255126953;0.8774780035018921;11156;0.6008400917053223,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,158,3206,10453;411.447998046875;175.73219299316406;76.61852264404297;0.8999485969543457;10589;0.8056262135505676,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,159,3207,11087;432.38299560546875;177.4989776611328;80.54419708251953;0.8911174535751343;11380;0.5946366190910339,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,160,3208,12593;432.1839904785156;171.4846954345703;93.9250259399414;0.8366639018058777;12785;0.6637676358222961,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,161,3209,9878;406.9779968261719;169.36671447753906;74.97759246826172;0.8966728448867798;10098;0.5813323855400085,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,162,3210,11734;430.2799987792969;181.88729858398438;82.55502319335938;0.8910627961158752;11875;0.7994276881217957,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,163,3211,11835;431.03399658203125;180.4618377685547;84.1444091796875;0.8846410512924194;12016;0.6330230832099915,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,164,3212,11699;434.8919982910156;178.2296905517578;85.4521484375;0.8775694370269775;12005;0.5889252424240112,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,165,3213,10921;425.0119934082031;175.63832092285156;80.60688018798828;0.8884689211845398;11271;0.770440936088562,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,166,3214,12544;437.2690124511719;175.67208862304688;91.52434539794922;0.8535594940185547;12753;0.7881377339363098,Osmancik,Osmancik,1,1.0000
KNN,raw,80-20,167,3215,10662;415.2699890136719;172.5750274658203;79.8096694946289;0.8866382837295532;10945;0.7250102162361145,Osmancik,Osmancik,1,1.0000
