Algorithm,Preprocessing,Split,Type,SampleIndex,OriginalIndex,Features,Class
KNN,raw,80-20,Train,26,26,5;3.4;1.6;0.4,setosa
KNN,raw,80-20,Train,27,27,5.2;3.5;1.5;0.2,setosa
KNN,raw,80-20,Train,28,28,5.2;3.4;1.4;0.2,setosa
KNN,raw,80-20,Train,29,29,4.7;3.2;1.6;0.2,setosa
KNN,raw,80-20,Train,30,30,4.8;3.1;1.6;0.2,setosa
KNN,raw,80-20,Train,31,31,5.4;3.4;1.5;0.4,setosa
KNN,raw,80-20,Train,32,32,5.2;4.1;1.5;0.1,setosa
KNN,raw,80-20,Train,33,33,5.5;4.2;1.4;0.2,setosa
KNN,raw,80-20,Train,34,34,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,35,35,5;3.2;1.2;0.2,setosa
KNN,raw,80-20,Train,36,36,5.5;3.5;1.3;0.2,setosa
KNN,raw,80-20,Train,37,37,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,38,38,4.4;3;1.3;0.2,setosa
KNN,raw,80-20,Train,39,39,5.1;3.4;1.5;0.2,setosa
KNN,raw,80-20,Train,40,40,5;3.5;1.3;0.3,setosa
KNN,raw,80-20,Train,41,41,4.5;2.3;1.3;0.3,setosa
KNN,raw,80-20,Train,42,42,4.4;3.2;1.3;0.2,setosa
KNN,raw,80-20,Train,43,43,5;3.5;1.6;0.6,setosa
KNN,raw,80-20,Train,44,44,5.1;3.8;1.9;0.4,setosa
KNN,raw,80-20,Train,45,45,4.8;3;1.4;0.3,setosa
KNN,raw,80-20,Train,46,46,5.1;3.8;1.6;0.2,setosa
KNN,raw,80-20,Train,47,47,4.6;3.2;1.4;0.2,setosa
KNN,raw,80-20,Train,48,48,5.3;3.7;1.5;0.2,setosa
KNN,raw,80-20,Train,49,49,5;3.3;1.4;0.2,setosa
KNN,raw,80-20,Train,50,50,7;3.2;4.7;1.4,versicolor
KNN,raw,80-20,Train,51,51,6.4;3.2;4.5;1.5,versicolor
KNN,raw,80-20,Train,52,52,6.9;3.1;4.9;1.5,versicolor
KNN,raw,80-20,Train,53,53,5.5;2.3;4;1.3,versicolor
KNN,raw,80-20,Train,54,54,6.5;2.8;4.6;1.5,versicolor
KNN,raw,80-20,Train,55,55,5.7;2.8;4.5;1.3,versicolor
KNN,raw,80-20,Train,56,56,6.3;3.3;4.7;1.6,versicolor
KNN,raw,80-20,Train,57,57,4.9;2.4;3.3;1,versicolor
KNN,raw,80-20,Train,58,58,6.6;2.9;4.6;1.3,versicolor
KNN,raw,80-20,Train,59,59,5.2;2.7;3.9;1.4,versicolor
KNN,raw,80-20,Train,60,60,5;2;3.5;1,versicolor
KNN,raw,80-20,Train,61,61,5.9;3;4.2;1.5,versicolor
KNN,raw,80-20,Train,62,62,6;2.2;4;1,versicolor
KNN,raw,80-20,Train,63,63,6.1;2.9;4.7;1.4,versicolor
KNN,raw,80-20,Train,64,64,5.6;2.9;3.6;1.3,versicolor
KNN,raw,80-20,Train,65,65,6.7;3.1;4.4;1.4,versicolor
KNN,raw,80-20,Train,66,66,5.6;3;4.5;1.5,versicolor
KNN,raw,80-20,Train,67,67,5.8;2.7;4.1;1,versicolor
KNN,raw,80-20,Train,68,68,6.2;2.2;4.5;1.5,versicolor
KNN,raw,80-20,Train,69,69,5.6;2.5;3.9;1.1,versicolor
KNN,raw,80-20,Train,70,70,5.9;3.2;4.8;1.8,versicolor
KNN,raw,80-20,Train,71,71,6.1;2.8;4;1.3,versicolor
KNN,raw,80-20,Train,72,72,6.3;2.5;4.9;1.5,versicolor
KNN,raw,80-20,Train,73,73,6.1;2.8;4.7;1.2,versicolor
KNN,raw,80-20,Train,74,74,6.4;2.9;4.3;1.3,versicolor
KNN,raw,80-20,Train,75,75,6.6;3;4.4;1.4,versicolor
KNN,raw,80-20,Train,76,76,6.8;2.8;4.8;1.4,versicolor
KNN,raw,80-20,Train,77,77,6.7;3;5;1.7,versicolor
KNN,raw,80-20,Train,78,78,6;2.9;4.5;1.5,versicolor
KNN,raw,80-20,Train,79,79,5.7;2.6;3.5;1,versicolor
KNN,raw,80-20,Train,80,80,5.5;2.4;3.8;1.1,versicolor
KNN,raw,80-20,Train,81,81,5.5;2.4;3.7;1,versicolor
KNN,raw,80-20,Train,82,82,5.8;2.7;3.9;1.2,versicolor
KNN,raw,80-20,Train,83,83,6;2.7;5.1;1.6,versicolor
KNN,raw,80-20,Train,84,84,5.4;3;4.5;1.5,versicolor
KNN,raw,80-20,Train,85,85,6;3.4;4.5;1.6,versicolor
KNN,raw,80-20,Train,86,86,6.7;3.1;4.7;1.5,versicolor
KNN,raw,80-20,Train,87,87,6.3;2.3;4.4;1.3,versicolor
KNN,raw,80-20,Train,88,88,5.6;3;4.1;1.3,versicolor
KNN,raw,80-20,Train,89,89,5.5;2.5;4;1.3,versicolor
KNN,raw,80-20,Train,90,90,5.5;2.6;4.4;1.2,versicolor
KNN,raw,80-20,Train,91,91,6.1;3;4.6;1.4,versicolor
KNN,raw,80-20,Train,92,92,5.8;2.6;4;1.2,versicolor
KNN,raw,80-20,Train,93,93,5;2.3;3.3;1,versicolor
KNN,raw,80-20,Train,94,94,5.6;2.7;4.2;1.3,versicolor
KNN,raw,80-20,Train,95,95,5.7;3;4.2;1.2,versicolor
KNN,raw,80-20,Train,96,96,5.7;2.9;4.2;1.3,versicolor
KNN,raw,80-20,Train,97,97,6.2;2.9;4.3;1.3,versicolor
KNN,raw,80-20,Train,98,98,5.1;2.5;3;1.1,versicolor
KNN,raw,80-20,Train,99,99,5.7;2.8;4.1;1.3,versicolor
KNN,raw,80-20,Train,100,100,6.3;3.3;6;2.5,virginica
KNN,raw,80-20,Train,101,101,5.8;2.7;5.1;1.9,virginica
KNN,raw,80-20,Train,102,102,7.1;3;5.9;2.1,virginica
KNN,raw,80-20,Train,103,103,6.3;2.9;5.6;1.8,virginica
KNN,raw,80-20,Train,104,104,6.5;3;5.8;2.2,virginica
KNN,raw,80-20,Train,105,105,7.6;3;6.6;2.1,virginica
KNN,raw,80-20,Train,106,106,4.9;2.5;4.5;1.7,virginica
KNN,raw,80-20,Train,107,107,7.3;2.9;6.3;1.8,virginica
KNN,raw,80-20,Train,108,108,6.7;2.5;5.8;1.8,virginica
KNN,raw,80-20,Train,109,109,7.2;3.6;6.1;2.5,virginica
KNN,raw,80-20,Train,110,110,6.5;3.2;5.1;2,virginica
KNN,raw,80-20,Train,111,111,6.4;2.7;5.3;1.9,virginica
KNN,raw,80-20,Train,112,112,6.8;3;5.5;2.1,virginica
KNN,raw,80-20,Train,113,113,5.7;2.5;5;2,virginica
KNN,raw,80-20,Train,114,114,5.8;2.8;5.1;2.4,virginica
KNN,raw,80-20,Train,115,115,6.4;3.2;5.3;2.3,virginica
KNN,raw,80-20,Train,116,116,6.5;3;5.5;1.8,virginica
KNN,raw,80-20,Train,117,117,7.7;3.8;6.7;2.2,virginica
KNN,raw,80-20,Train,118,118,7.7;2.6;6.9;2.3,virginica
KNN,raw,80-20,Train,119,119,6;2.2;5;1.5,virginica
KNN,raw,80-20,Test,0,120,6.9;3.2;5.7;2.3,virginica
KNN,raw,80-20,Test,1,121,5.6;2.8;4.9;2,virginica
KNN,raw,80-20,Test,2,122,7.7;2.8;6.7;2,virginica
KNN,raw,80-20,Test,3,123,6.3;2.7;4.9;1.8,virginica
KNN,raw,80-20,Test,4,124,6.7;3.3;5.7;2.1,virginica
KNN,raw,80-20,Test,5,125,7.2;3.2;6;1.8,virginica
KNN,raw,80-20,Test,6,126,6.2;2.8;4.8;1.8,virginica
KNN,raw,80-20,Test,7,127,6.1;3;4.9;1.8,virginica
KNN,raw,80-20,Test,8,128,6.4;2.8;5.6;2.1,virginica
KNN,raw,80-20,Test,9,129,7.2;3;5.8;1.6,virginica
KNN,raw,80-20,Test,10,130,7.4;2.8;6.1;1.9,virginica
KNN,raw,80-20,Test,11,131,7.9;3.8;6.4;2,virginica
KNN,raw,80-20,Test,12,132,6.4;2.8;5.6;2.2,virginica
KNN,raw,80-20,Test,13,133,6.3;2.8;5.1;1.5,virginica
KNN,raw,80-20,Test,14,134,6.1;2.6;5.6;1.4,virginica
KNN,raw,80-20,Test,15,135,7.7;3;6.1;2.3,virginica
KNN,raw,80-20,Test,16,136,6.3;3.4;5.6;2.4,virginica
KNN,raw,80-20,Test,17,137,6.4;3.1;5.5;1.8,virginica
KNN,raw,80-20,Test,18,138,6;3;4.8;1.8,virginica
KNN,raw,80-20,Test,19,139,6.9;3.1;5.4;2.1,virginica
KNN,raw,80-20,Test,20,140,6.7;3.1;5.6;2.4,virginica
KNN,raw,80-20,Test,21,141,6.9;3.1;5.1;2.3,virginica
KNN,raw,80-20,Test,22,142,5.8;2.7;5.1;1.9,virginica
KNN,raw,80-20,Test,23,143,6.8;3.2;5.9;2.3,virginica
KNN,raw,80-20,Test,24,144,6.7;3.3;5.7;2.5,virginica
KNN,raw,80-20,Test,25,145,6.7;3;5.2;2.3,virginica
KNN,raw,80-20,Test,26,146,6.3;2.5;5;1.9,virginica
KNN,raw,80-20,Test,27,147,6.5;3;5.2;2,virginica
KNN,raw,80-20,Test,28,148,6.2;3.4;5.4;2.3,virginica
KNN,raw,80-20,Test,29,149,5.9;3;5.1;1.8,virginica
KNN,raw,80-20,Train,0,0,5.1;3.5;1.4;0.2,setosa
KNN,raw,80-20,Train,1,1,4.9;3;1.4;0.2,setosa
KNN,raw,80-20,Train,2,2,4.7;3.2;1.3;0.2,setosa
KNN,raw,80-20,Train,3,3,4.6;3.1;1.5;0.2,setosa
KNN,raw,80-20,Train,4,4,5;3.6;1.4;0.2,setosa
KNN,raw,80-20,Train,5,5,5.4;3.9;1.7;0.4,setosa
KNN,raw,80-20,Train,6,6,4.6;3.4;1.4;0.3,setosa
KNN,raw,80-20,Train,7,7,5;3.4;1.5;0.2,setosa
KNN,raw,80-20,Train,8,8,4.4;2.9;1.4;0.2,setosa
KNN,raw,80-20,Train,9,9,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,10,10,5.4;3.7;1.5;0.2,setosa
KNN,raw,80-20,Train,11,11,4.8;3.4;1.6;0.2,setosa
KNN,raw,80-20,Train,12,12,4.8;3;1.4;0.1,setosa
KNN,raw,80-20,Train,13,13,4.3;3;1.1;0.1,setosa
KNN,raw,80-20,Train,14,14,5.8;4;1.2;0.2,setosa
KNN,raw,80-20,Train,15,15,5.7;4.4;1.5;0.4,setosa
KNN,raw,80-20,Train,16,16,5.4;3.9;1.3;0.4,setosa
KNN,raw,80-20,Train,17,17,5.1;3.5;1.4;0.3,setosa
KNN,raw,80-20,Train,18,18,5.7;3.8;1.7;0.3,setosa
KNN,raw,80-20,Train,19,19,5.1;3.8;1.5;0.3,setosa
KNN,raw,80-20,Train,20,20,5.4;3.4;1.7;0.2,setosa
KNN,raw,80-20,Train,21,21,5.1;3.7;1.5;0.4,setosa
KNN,raw,80-20,Train,22,22,4.6;3.6;1;0.2,setosa
KNN,raw,80-20,Train,23,23,5.1;3.3;1.7;0.5,setosa
KNN,raw,80-20,Train,24,24,4.8;3.4;1.9;0.2,setosa
KNN,raw,80-20,Train,25,25,5;3;1.6;0.2,setosa
KNN,raw,80-20,Train,26,26,5;3.4;1.6;0.4,setosa
KNN,raw,80-20,Train,27,27,5.2;3.5;1.5;0.2,setosa
KNN,raw,80-20,Train,28,28,5.2;3.4;1.4;0.2,setosa
KNN,raw,80-20,Train,29,29,4.7;3.2;1.6;0.2,setosa
KNN,raw,80-20,Train,30,30,4.8;3.1;1.6;0.2,setosa
KNN,raw,80-20,Train,31,31,5.4;3.4;1.5;0.4,setosa
KNN,raw,80-20,Train,32,32,5.2;4.1;1.5;0.1,setosa
KNN,raw,80-20,Train,33,33,5.5;4.2;1.4;0.2,setosa
KNN,raw,80-20,Train,34,34,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,35,35,5;3.2;1.2;0.2,setosa
KNN,raw,80-20,Train,36,36,5.5;3.5;1.3;0.2,setosa
KNN,raw,80-20,Train,37,37,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,38,38,4.4;3;1.3;0.2,setosa
KNN,raw,80-20,Train,39,39,5.1;3.4;1.5;0.2,setosa
KNN,raw,80-20,Train,40,40,5;3.5;1.3;0.3,setosa
KNN,raw,80-20,Train,41,41,4.5;2.3;1.3;0.3,setosa
KNN,raw,80-20,Train,42,42,4.4;3.2;1.3;0.2,setosa
KNN,raw,80-20,Train,43,43,5;3.5;1.6;0.6,setosa
KNN,raw,80-20,Train,44,44,5.1;3.8;1.9;0.4,setosa
KNN,raw,80-20,Train,45,45,4.8;3;1.4;0.3,setosa
KNN,raw,80-20,Train,46,46,5.1;3.8;1.6;0.2,setosa
KNN,raw,80-20,Train,47,47,4.6;3.2;1.4;0.2,setosa
KNN,raw,80-20,Train,48,48,5.3;3.7;1.5;0.2,setosa
KNN,raw,80-20,Train,49,49,5;3.3;1.4;0.2,setosa
KNN,raw,80-20,Train,50,50,7;3.2;4.7;1.4,versicolor
KNN,raw,80-20,Train,51,51,6.4;3.2;4.5;1.5,versicolor
KNN,raw,80-20,Train,52,52,6.9;3.1;4.9;1.5,versicolor
KNN,raw,80-20,Train,53,53,5.5;2.3;4;1.3,versicolor
KNN,raw,80-20,Train,54,54,6.5;2.8;4.6;1.5,versicolor
KNN,raw,80-20,Train,55,55,5.7;2.8;4.5;1.3,versicolor
KNN,raw,80-20,Train,56,56,6.3;3.3;4.7;1.6,versicolor
KNN,raw,80-20,Train,57,57,4.9;2.4;3.3;1,versicolor
KNN,raw,80-20,Train,58,58,6.6;2.9;4.6;1.3,versicolor
KNN,raw,80-20,Train,59,59,5.2;2.7;3.9;1.4,versicolor
KNN,raw,80-20,Train,60,60,5;2;3.5;1,versicolor
KNN,raw,80-20,Train,61,61,5.9;3;4.2;1.5,versicolor
KNN,raw,80-20,Train,62,62,6;2.2;4;1,versicolor
KNN,raw,80-20,Train,63,63,6.1;2.9;4.7;1.4,versicolor
KNN,raw,80-20,Train,64,64,5.6;2.9;3.6;1.3,versicolor
KNN,raw,80-20,Train,65,65,6.7;3.1;4.4;1.4,versicolor
KNN,raw,80-20,Train,66,66,5.6;3;4.5;1.5,versicolor
KNN,raw,80-20,Train,67,67,5.8;2.7;4.1;1,versicolor
KNN,raw,80-20,Train,68,68,6.2;2.2;4.5;1.5,versicolor
KNN,raw,80-20,Train,69,69,5.6;2.5;3.9;1.1,versicolor
KNN,raw,80-20,Train,70,70,5.9;3.2;4.8;1.8,versicolor
KNN,raw,80-20,Train,71,71,6.1;2.8;4;1.3,versicolor
KNN,raw,80-20,Train,72,72,6.3;2.5;4.9;1.5,versicolor
KNN,raw,80-20,Train,73,73,6.1;2.8;4.7;1.2,versicolor
KNN,raw,80-20,Train,74,74,6.4;2.9;4.3;1.3,versicolor
KNN,raw,80-20,Train,75,75,6.6;3;4.4;1.4,versicolor
KNN,raw,80-20,Train,76,76,6.8;2.8;4.8;1.4,versicolor
KNN,raw,80-20,Train,77,77,6.7;3;5;1.7,versicolor
KNN,raw,80-20,Train,78,78,6;2.9;4.5;1.5,versicolor
KNN,raw,80-20,Train,79,79,5.7;2.6;3.5;1,versicolor
KNN,raw,80-20,Train,80,80,5.5;2.4;3.8;1.1,versicolor
KNN,raw,80-20,Train,81,81,5.5;2.4;3.7;1,versicolor
KNN,raw,80-20,Train,82,82,5.8;2.7;3.9;1.2,versicolor
KNN,raw,80-20,Train,83,83,6;2.7;5.1;1.6,versicolor
KNN,raw,80-20,Train,84,84,5.4;3;4.5;1.5,versicolor
KNN,raw,80-20,Train,85,85,6;3.4;4.5;1.6,versicolor
KNN,raw,80-20,Train,86,86,6.7;3.1;4.7;1.5,versicolor
KNN,raw,80-20,Train,87,87,6.3;2.3;4.4;1.3,versicolor
KNN,raw,80-20,Train,88,88,5.6;3;4.1;1.3,versicolor
KNN,raw,80-20,Train,89,89,5.5;2.5;4;1.3,versicolor
KNN,raw,80-20,Train,90,90,5.5;2.6;4.4;1.2,versicolor
KNN,raw,80-20,Train,91,91,6.1;3;4.6;1.4,versicolor
KNN,raw,80-20,Train,92,92,5.8;2.6;4;1.2,versicolor
KNN,raw,80-20,Train,93,93,5;2.3;3.3;1,versicolor
KNN,raw,80-20,Train,94,94,5.6;2.7;4.2;1.3,versicolor
KNN,raw,80-20,Train,95,95,5.7;3;4.2;1.2,versicolor
KNN,raw,80-20,Train,96,96,5.7;2.9;4.2;1.3,versicolor
KNN,raw,80-20,Train,97,97,6.2;2.9;4.3;1.3,versicolor
KNN,raw,80-20,Train,98,98,5.1;2.5;3;1.1,versicolor
KNN,raw,80-20,Train,99,99,5.7;2.8;4.1;1.3,versicolor
KNN,raw,80-20,Train,100,100,6.3;3.3;6;2.5,virginica
KNN,raw,80-20,Train,101,101,5.8;2.7;5.1;1.9,virginica
KNN,raw,80-20,Train,102,102,7.1;3;5.9;2.1,virginica
KNN,raw,80-20,Train,103,103,6.3;2.9;5.6;1.8,virginica
KNN,raw,80-20,Train,104,104,6.5;3;5.8;2.2,virginica
KNN,raw,80-20,Train,105,105,7.6;3;6.6;2.1,virginica
KNN,raw,80-20,Train,106,106,4.9;2.5;4.5;1.7,virginica
KNN,raw,80-20,Train,107,107,7.3;2.9;6.3;1.8,virginica
KNN,raw,80-20,Train,108,108,6.7;2.5;5.8;1.8,virginica
KNN,raw,80-20,Train,109,109,7.2;3.6;6.1;2.5,virginica
KNN,raw,80-20,Train,110,110,6.5;3.2;5.1;2,virginica
KNN,raw,80-20,Train,111,111,6.4;2.7;5.3;1.9,virginica
KNN,raw,80-20,Train,112,112,6.8;3;5.5;2.1,virginica
KNN,raw,80-20,Train,113,113,5.7;2.5;5;2,virginica
KNN,raw,80-20,Train,114,114,5.8;2.8;5.1;2.4,virginica
KNN,raw,80-20,Train,115,115,6.4;3.2;5.3;2.3,virginica
KNN,raw,80-20,Train,116,116,6.5;3;5.5;1.8,virginica
KNN,raw,80-20,Train,117,117,7.7;3.8;6.7;2.2,virginica
KNN,raw,80-20,Train,118,118,7.7;2.6;6.9;2.3,virginica
KNN,raw,80-20,Train,119,119,6;2.2;5;1.5,virginica
KNN,raw,80-20,Test,0,120,6.9;3.2;5.7;2.3,virginica
KNN,raw,80-20,Test,1,121,5.6;2.8;4.9;2,virginica
KNN,raw,80-20,Test,2,122,7.7;2.8;6.7;2,virginica
KNN,raw,80-20,Test,3,123,6.3;2.7;4.9;1.8,virginica
KNN,raw,80-20,Test,4,124,6.7;3.3;5.7;2.1,virginica
KNN,raw,80-20,Test,5,125,7.2;3.2;6;1.8,virginica
KNN,raw,80-20,Test,6,126,6.2;2.8;4.8;1.8,virginica
KNN,raw,80-20,Test,7,127,6.1;3;4.9;1.8,virginica
KNN,raw,80-20,Test,8,128,6.4;2.8;5.6;2.1,virginica
KNN,raw,80-20,Test,9,129,7.2;3;5.8;1.6,virginica
KNN,raw,80-20,Test,10,130,7.4;2.8;6.1;1.9,virginica
KNN,raw,80-20,Test,11,131,7.9;3.8;6.4;2,virginica
KNN,raw,80-20,Test,12,132,6.4;2.8;5.6;2.2,virginica
KNN,raw,80-20,Test,13,133,6.3;2.8;5.1;1.5,virginica
KNN,raw,80-20,Test,14,134,6.1;2.6;5.6;1.4,virginica
KNN,raw,80-20,Test,15,135,7.7;3;6.1;2.3,virginica
KNN,raw,80-20,Test,16,136,6.3;3.4;5.6;2.4,virginica
KNN,raw,80-20,Test,17,137,6.4;3.1;5.5;1.8,virginica
KNN,raw,80-20,Test,18,138,6;3;4.8;1.8,virginica
KNN,raw,80-20,Test,19,139,6.9;3.1;5.4;2.1,virginica
KNN,raw,80-20,Test,20,140,6.7;3.1;5.6;2.4,virginica
KNN,raw,80-20,Test,21,141,6.9;3.1;5.1;2.3,virginica
KNN,raw,80-20,Test,22,142,5.8;2.7;5.1;1.9,virginica
KNN,raw,80-20,Test,23,143,6.8;3.2;5.9;2.3,virginica
KNN,raw,80-20,Test,24,144,6.7;3.3;5.7;2.5,virginica
KNN,raw,80-20,Test,25,145,6.7;3;5.2;2.3,virginica
KNN,raw,80-20,Test,26,146,6.3;2.5;5;1.9,virginica
KNN,raw,80-20,Test,27,147,6.5;3;5.2;2,virginica
KNN,raw,80-20,Test,28,148,6.2;3.4;5.4;2.3,virginica
KNN,raw,80-20,Test,29,149,5.9;3;5.1;1.8,virginica
KNN,raw,80-20,Train,0,0,5.1;3.5;1.4;0.2,setosa
KNN,raw,80-20,Train,1,1,4.9;3;1.4;0.2,setosa
KNN,raw,80-20,Train,2,2,4.7;3.2;1.3;0.2,setosa
KNN,raw,80-20,Train,3,3,4.6;3.1;1.5;0.2,setosa
KNN,raw,80-20,Train,4,4,5;3.6;1.4;0.2,setosa
KNN,raw,80-20,Train,5,5,5.4;3.9;1.7;0.4,setosa
KNN,raw,80-20,Train,6,6,4.6;3.4;1.4;0.3,setosa
KNN,raw,80-20,Train,7,7,5;3.4;1.5;0.2,setosa
KNN,raw,80-20,Train,8,8,4.4;2.9;1.4;0.2,setosa
KNN,raw,80-20,Train,9,9,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,10,10,5.4;3.7;1.5;0.2,setosa
KNN,raw,80-20,Train,11,11,4.8;3.4;1.6;0.2,setosa
KNN,raw,80-20,Train,12,12,4.8;3;1.4;0.1,setosa
KNN,raw,80-20,Train,13,13,4.3;3;1.1;0.1,setosa
KNN,raw,80-20,Train,14,14,5.8;4;1.2;0.2,setosa
KNN,raw,80-20,Train,15,15,5.7;4.4;1.5;0.4,setosa
KNN,raw,80-20,Train,16,16,5.4;3.9;1.3;0.4,setosa
KNN,raw,80-20,Train,17,17,5.1;3.5;1.4;0.3,setosa
KNN,raw,80-20,Train,18,18,5.7;3.8;1.7;0.3,setosa
KNN,raw,80-20,Train,19,19,5.1;3.8;1.5;0.3,setosa
KNN,raw,80-20,Train,20,20,5.4;3.4;1.7;0.2,setosa
KNN,raw,80-20,Train,21,21,5.1;3.7;1.5;0.4,setosa
KNN,raw,80-20,Train,22,22,4.6;3.6;1;0.2,setosa
KNN,raw,80-20,Train,23,23,5.1;3.3;1.7;0.5,setosa
KNN,raw,80-20,Train,24,24,4.8;3.4;1.9;0.2,setosa
KNN,raw,80-20,Train,25,25,5;3;1.6;0.2,setosa
KNN,raw,80-20,Train,26,26,5;3.4;1.6;0.4,setosa
KNN,raw,80-20,Train,27,27,5.2;3.5;1.5;0.2,setosa
KNN,raw,80-20,Train,28,28,5.2;3.4;1.4;0.2,setosa
KNN,raw,80-20,Train,29,29,4.7;3.2;1.6;0.2,setosa
KNN,raw,80-20,Train,30,30,4.8;3.1;1.6;0.2,setosa
KNN,raw,80-20,Train,31,31,5.4;3.4;1.5;0.4,setosa
KNN,raw,80-20,Train,32,32,5.2;4.1;1.5;0.1,setosa
KNN,raw,80-20,Train,33,33,5.5;4.2;1.4;0.2,setosa
KNN,raw,80-20,Train,34,34,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,35,35,5;3.2;1.2;0.2,setosa
KNN,raw,80-20,Train,36,36,5.5;3.5;1.3;0.2,setosa
KNN,raw,80-20,Train,37,37,4.9;3.1;1.5;0.1,setosa
KNN,raw,80-20,Train,38,38,4.4;3;1.3;0.2,setosa
KNN,raw,80-20,Train,39,39,5.1;3.4;1.5;0.2,setosa
KNN,raw,80-20,Train,40,40,5;3.5;1.3;0.3,setosa
KNN,raw,80-20,Train,41,41,4.5;2.3;1.3;0.3,setosa
KNN,raw,80-20,Train,42,42,4.4;3.2;1.3;0.2,setosa
KNN,raw,80-20,Train,43,43,5;3.5;1.6;0.6,setosa
KNN,raw,80-20,Train,44,44,5.1;3.8;1.9;0.4,setosa
KNN,raw,80-20,Train,45,45,4.8;3;1.4;0.3,setosa
KNN,raw,80-20,Train,46,46,5.1;3.8;1.6;0.2,setosa
KNN,raw,80-20,Train,47,47,4.6;3.2;1.4;0.2,setosa
KNN,raw,80-20,Train,48,48,5.3;3.7;1.5;0.2,setosa
KNN,raw,80-20,Train,49,49,5;3.3;1.4;0.2,setosa
KNN,raw,80-20,Train,50,50,7;3.2;4.7;1.4,versicolor
KNN,raw,80-20,Train,51,51,6.4;3.2;4.5;1.5,versicolor
KNN,raw,80-20,Train,52,52,6.9;3.1;4.9;1.5,versicolor
KNN,raw,80-20,Train,53,53,5.5;2.3;4;1.3,versicolor
KNN,raw,80-20,Train,54,54,6.5;2.8;4.6;1.5,versicolor
KNN,raw,80-20,Train,55,55,5.7;2.8;4.5;1.3,versicolor
KNN,raw,80-20,Train,56,56,6.3;3.3;4.7;1.6,versicolor
KNN,raw,80-20,Train,57,57,4.9;2.4;3.3;1,versicolor
KNN,raw,80-20,Train,58,58,6.6;2.9;4.6;1.3,versicolor
KNN,raw,80-20,Train,59,59,5.2;2.7;3.9;1.4,versicolor
KNN,raw,80-20,Train,60,60,5;2;3.5;1,versicolor
KNN,raw,80-20,Train,61,61,5.9;3;4.2;1.5,versicolor
KNN,raw,80-20,Train,62,62,6;2.2;4;1,versicolor
KNN,raw,80-20,Train,63,63,6.1;2.9;4.7;1.4,versicolor
KNN,raw,80-20,Train,64,64,5.6;2.9;3.6;1.3,versicolor
KNN,raw,80-20,Train,65,65,6.7;3.1;4.4;1.4,versicolor
KNN,raw,80-20,Train,66,66,5.6;3;4.5;1.5,versicolor
KNN,raw,80-20,Train,67,67,5.8;2.7;4.1;1,versicolor
KNN,raw,80-20,Train,68,68,6.2;2.2;4.5;1.5,versicolor
KNN,raw,80-20,Train,69,69,5.6;2.5;3.9;1.1,versicolor
KNN,raw,80-20,Train,70,70,5.9;3.2;4.8;1.8,versicolor
KNN,raw,80-20,Train,71,71,6.1;2.8;4;1.3,versicolor
